Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt,Active
972,0.203233256,-0.064665127,0.21367037,0.930715935,-0.080357143,0.021224018,-0.010873016,-0.53968254,0.038930804,-0.270767196,1
1805,-0.884615385,-0.230769231,0.32867037,0.153846154,0,-0.010884615,-0.020873016,-0.53968254,-0.051705882,-0.420767196,-1
323,-0.796766744,-0.064665127,0.072818391,-2.069284065,-0.080357143,0.014224018,0.025632184,-0.333333333,0.158930804,-0.034942529,1
538,-0.796766744,-0.064665127,0.18067037,-2.069284065,-0.080357143,0.020224018,0.019126984,-0.53968254,0.128930804,-0.270767196,-1
1011,-0.796766744,-0.064665127,0.05467037,5.930715935,-0.080357143,-0.021775982,-0.000873016,-0.53968254,-0.009069196,0.079232804,-1
1200,-0.884615385,-0.230769231,-0.19472963,-0.846153846,0,0.042115385,-0.030873016,-0.53968254,0.051294118,-0.760767196,-1
439,-0.796766744,-0.064665127,0.10367037,1.930715935,-0.080357143,-0.002775982,-0.030873016,-0.53968254,0.052930804,-0.230767196,1
635,-0.796766744,-0.064665127,-0.04532963,-2.069284065,-0.080357143,0.004224018,0.009126984,0.46031746,-0.122069196,-0.230767196,1
348,-0.796766744,-0.064665127,-0.275181609,-1.069284065,-0.080357143,0.011224018,-0.004367816,-0.333333333,0.198930804,-0.244942529,-1
33,-0.796766744,-0.064665127,-0.363381609,-2.069284065,-0.080357143,-0.002775982,0.005632184,0.666666667,0.075930804,0.425057471,1
715,-0.796766744,-0.064665127,-0.13172963,-2.069284065,-0.080357143,0.003224018,0.009126984,0.46031746,-0.131069196,0.089232804,1
145,-0.796766744,-0.064665127,-0.113181609,-3.069284065,-0.080357143,0.060224018,-0.074367816,-0.333333333,0.006930804,-0.514942529,-1
1760,0.115384615,-0.230769231,-0.14442963,3.153846154,0,-0.019884615,0.029126984,-0.53968254,0.251294118,0.069232804,-1
818,-0.796766744,-0.064665127,0.03567037,5.930715935,-0.080357143,-0.024775982,0.009126984,-0.53968254,0.338930804,0.069232804,-1
69,-0.796766744,-0.064665127,-0.390181609,-3.069284065,-0.080357143,0.044224018,-0.114367816,-0.333333333,-0.016069196,-0.864942529,-1
48,-0.796766744,-0.064665127,-0.326481609,-0.069284065,-0.080357143,-0.005775982,0.015632184,0.666666667,-0.136069196,0.535057471,1
875,-0.796766744,-0.064665127,0.19467037,-1.069284065,-0.080357143,0.005224018,0.039126984,0.46031746,-0.087069196,-0.210767196,1
416,0.115384615,0.769230769,-0.111181609,0.153846154,0.919642857,0.007115385,0.015632184,-0.333333333,-0.021069196,-0.224942529,1
555,-0.796766744,-0.064665127,0.01767037,-0.069284065,-0.080357143,0.030224018,-0.040873016,-0.53968254,0.028930804,-0.450767196,1
690,2.203233256,-0.064665127,0.09667037,-1.069284065,-0.080357143,-0.004775982,-0.030873016,-0.53968254,0.138930804,-0.260767196,1
474,-0.796766744,-0.064665127,-0.16272963,-2.069284065,-0.080357143,0.012224018,0.009126984,0.46031746,-0.126069196,-0.440767196,1
956,-0.796766744,-0.064665127,-0.06032963,-2.069284065,-0.080357143,0.096224018,-0.060873016,-0.53968254,0.218930804,-0.690767196,-1
1685,-1.166666667,-0.333333333,0.19567037,-6,-0.080357143,0.03,-0.090873016,-0.53968254,0.118930804,-0.660767196,-1
235,0.203233256,0.935334873,-0.088181609,-2.069284065,0.919642857,0.027224018,0.025632184,-0.333333333,0.004930804,-0.144942529,1
1662,-2.166666667,-0.333333333,-0.01932963,-1,-0.080357143,0.021,0.019126984,-0.53968254,0.178930804,-0.150767196,-1
1869,-0.884615385,-0.230769231,-0.18972963,-0.846153846,0,-0.003884615,0.049126984,-0.53968254,0.071294118,-0.190767196,-1
909,-0.796766744,-0.064665127,-0.16482963,-1.069284065,-0.080357143,-0.000775982,0.019126984,0.46031746,-0.103069196,-0.040767196,1
468,-0.796766744,-0.064665127,-0.10932963,-0.069284065,-0.080357143,-0.003775982,0.029126984,0.46031746,-0.156069196,-0.030767196,1
786,-0.796766744,-0.064665127,-0.09232963,-1.069284065,-0.080357143,-0.007775982,0.039126984,0.46031746,-0.045069196,0.239232804,1
1737,0.115384615,-0.230769231,0.13767037,0.153846154,0,-0.033884615,-0.070873016,-0.53968254,-0.147705882,-0.090767196,-1
1071,-0.796766744,-0.064665127,-0.14982963,-1.069284065,-0.080357143,-0.004775982,0.029126984,0.46031746,-0.074069196,0.009232804,1
