Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt
716,0.203233256,1.935334873,0.04667037,-2.069284065,1.919642857,0.019224018,0.039126984,-0.53968254,0.098930804,-0.010767196
326,-0.796766744,-0.064665127,-0.221181609,-1.069284065,-0.080357143,0.016224018,-0.014367816,-0.333333333,0.228930804,-0.084942529
193,-0.796766744,-0.064665127,-0.175181609,0.930715935,-0.080357143,0.002224018,-0.004367816,-0.333333333,0.378930804,0.415057471
1984,-0.884615385,-0.230769231,0.22067037,2.153846154,0,-0.010884615,-0.050873016,-0.53968254,-0.186705882,-0.040767196
950,1.203233256,-0.064665127,0.07067037,3.930715935,-0.080357143,-0.011775982,-0.020873016,-0.53968254,0.138930804,-0.080767196
658,-0.796766744,-0.064665127,0.04767037,-1.069284065,-0.080357143,-0.010775982,0.019126984,0.46031746,0.004930804,0.359232804
261,-0.796766744,-0.064665127,-0.275181609,-1.069284065,-0.080357143,0.011224018,0.005632184,-0.333333333,0.218930804,-0.024942529
828,-0.796766744,-0.064665127,-0.15942963,-1.069284065,-0.080357143,-0.007775982,0.049126984,0.46031746,-0.068069196,-0.020767196
189,1.203233256,-0.064665127,-0.338281609,-0.069284065,-0.080357143,0.000224018,-0.094367816,-0.333333333,0.078930804,0.465057471
1419,-0.884615385,-0.230769231,-0.13762963,1.153846154,0,0.005115385,-0.020873016,-0.53968254,0.121294118,-0.500767196
1954,0.115384615,-0.230769231,0.19567037,1.153846154,0,-0.004884615,-0.040873016,-0.53968254,-0.052705882,-0.140767196
667,-0.796766744,-0.064665127,-0.07032963,-2.069284065,-0.080357143,-0.001775982,0.019126984,0.46031746,-0.130069196,0.209232804
1032,0.203233256,-0.064665127,0.19267037,1.930715935,-0.080357143,-0.007775982,-0.040873016,-0.53968254,0.006930804,0.119232804
410,0.115384615,-0.230769231,-0.042181609,5.153846154,-0.080357143,0.009115385,0.015632184,-0.333333333,0.218930804,-0.164942529
1246,0.115384615,-0.230769231,-0.13962963,2.153846154,0,-0.000884615,-0.070873016,-0.53968254,0.021294118,0.189232804
1636,2.203233256,-0.064665127,-0.02532963,7.930715935,-0.080357143,0.040224018,-0.080873016,-0.53968254,0.098930804,-0.260767196
129,-0.796766744,-0.064665127,-0.066181609,-3.069284065,-0.080357143,0.055224018,-0.074367816,-0.333333333,0.248930804,-0.434942529
1153,-0.884615385,-0.230769231,0.23067037,0.153846154,0,-0.020884615,-0.080873016,-0.53968254,-0.148705882,-0.260767196
1929,1.115384615,-0.230769231,-0.14732963,1.153846154,0,-0.013884615,-0.060873016,-0.53968254,-0.046705882,-0.220767196
534,1.203233256,-0.064665127,-0.09132963,-0.069284065,-0.080357143,0.001224018,0.049126984,-0.53968254,0.248930804,-0.290767196
1178,2.115384615,-0.230769231,-0.08332963,3.153846154,0,-0.002884615,-0.040873016,-0.53968254,0.041294118,-0.360767196
1455,-0.884615385,-0.230769231,0.08567037,2.153846154,0,-0.020884615,0.099126984,-0.53968254,-0.101705882,-0.070767196
552,-0.796766744,-0.064665127,0.05467037,-1.069284065,-0.080357143,-0.010775982,0.049126984,0.46031746,0.002930804,0.389232804
305,-0.796766744,-0.064665127,-0.266181609,-3.069284065,-0.080357143,0.024224018,-0.084367816,-0.333333333,0.188930804,-0.464942529
1016,-0.796766744,-0.064665127,0.24867037,-2.069284065,-0.080357143,0.014224018,0.029126984,-0.53968254,0.158930804,-0.230767196
1510,0.203233256,-0.064665127,-0.383541609,0.930715935,-0.080357143,0.008224018,-0.094367816,-0.333333333,0.098930804,0.325057471
1180,1.115384615,-0.230769231,-0.09532963,2.153846154,0,-0.007884615,-0.040873016,-0.53968254,-0.076705882,-0.260767196
1127,-2.166666667,-0.333333333,0.17467037,1,-0.080357143,0.009,-0.090873016,-0.53968254,0.128930804,-0.230767196
861,-0.796766744,-0.064665127,0.14067037,-2.069284065,-0.080357143,0.022224018,0.029126984,-0.53968254,0.049930804,-0.280767196
630,-0.796766744,-0.064665127,-0.08332963,-1.069284065,-0.080357143,-0.013775982,0.019126984,0.46031746,-0.045069196,0.459232804
1339,-0.884615385,-0.230769231,0.07467037,-1.846153846,0,0.005115385,-0.080873016,-0.53968254,-0.008705882,-0.020767196
1213,-0.884615385,-0.230769231,-0.16922963,0.153846154,0,0.015115385,-0.190873016,-0.53968254,-0.055705882,-0.920767196
602,-0.796766744,-0.064665127,-0.07032963,-2.069284065,-0.080357143,-0.001775982,0.019126984,0.46031746,-0.130069196,0.209232804
731,-0.796766744,-0.064665127,-0.07032963,-1.069284065,-0.080357143,-0.001775982,0.049126984,0.46031746,-0.003069196,-0.100767196
1251,0.115384615,-0.230769231,-0.00432963,-1.846153846,0,-0.000884615,-0.080873016,-0.53968254,0.091294118,-0.360767196
295,0.203233256,0.935334873,-0.197181609,-2.069284065,0.919642857,0.039224018,0.065632184,-0.333333333,-0.015069196,-0.254942529
131,-0.796766744,-0.064665127,-0.272181609,0.930715935,-0.080357143,0.006224018,0.005632184,-0.333333333,0.348930804,0.215057471
1259,2.115384615,-0.230769231,-0.10632963,4.153846154,0,-0.015884615,-0.030873016,-0.53968254,-0.041705882,0.079232804
90,-0.796766744,-0.064665127,-0.269181609,-3.069284065,-0.080357143,0.054224018,-0.034367816,-0.333333333,0.108930804,-0.714942529
2009,-0.884615385,-0.230769231,-0.16592963,2.153846154,0,0.001115385,0.109126984,-0.53968254,-0.018705882,-0.100767196
250,-0.796766744,-0.064665127,-0.182181609,-1.069284065,-0.080357143,0.009224018,-0.004367816,-0.333333333,0.338930804,0.255057471
607,0.203233256,-0.064665127,-0.16662963,0.930715935,-0.080357143,-0.013775982,0.019126984,0.46031746,0.108930804,0.079232804
